train_accs,test_accs,runtime,numparams
0.26648,0.3355,4.375649344921112,35984.0
0.36404,0.364,,
0.40436,0.402,,
0.43514,0.4331,,
0.45378,0.4599,,
0.46882,0.4756,,
0.48484,0.4771,,
0.49362,0.494,,
0.50292,0.4957,,
0.50974,0.5102,,
0.51512,0.5166,,
0.5194,0.5123,,
0.52388,0.5255,,
0.52746,0.5279,,
0.53286,0.5206,,
0.53178,0.5291,,
0.53106,0.5329,,
0.53376,0.5325,,
0.53524,0.5315,,
0.53538,0.534,,
