train_accs,test_accs,runtime,numparams
0.317,0.403,14.16047294139862,184524.0
0.42368,0.4156,,
0.46464,0.4535,,
0.49138,0.4989,,
0.51554,0.5024,,
0.53356,0.5199,,
0.54902,0.5551,,
0.5582,0.56,,
0.56714,0.5692,,
0.57598,0.5761,,
0.58098,0.574,,
0.58678,0.5777,,
0.58698,0.5839,,
0.5926,0.5845,,
0.59398,0.5852,,
0.59682,0.5883,,
0.60024,0.591,,
0.59974,0.5915,,
0.60046,0.5926,,
0.60372,0.5907,,
