train_accs,test_accs,runtime,numparams
0.30768,0.4081,4.184135472774505,122560.0
0.441,0.4751,,
0.50474,0.5227,,
0.54522,0.5435,,
0.57134,0.5641,,
0.59252,0.5754,,
0.61202,0.5922,,
0.6245,0.5944,,
0.6371,0.6035,,
0.64988,0.6042,,
0.6583,0.604,,
0.66748,0.6074,,
0.67194,0.612,,
0.67984,0.6118,,
0.6833,0.6168,,
0.68654,0.6159,,
0.69068,0.6192,,
0.69242,0.6171,,
0.69372,0.62,,
0.6962,0.6199,,
